Date,Category,Description,Amount,Payment Method
2025-01-02,Groceries,Whole Foods Market,87.43,Credit Card
2025-01-03,Subscription,Netflix Monthly,15.99,Credit Card
2025-01-05,Dining,Sushi Kawa dinner,62.50,Credit Card
2025-01-07,Transport,Uber to airport,34.20,Debit Card
2025-01-08,Travel,Flight to Denver (work conf),389.00,Credit Card
2025-01-08,Travel,Denver Marriott 2 nights,478.00,Credit Card
2025-01-10,Groceries,Trader Joe's,54.12,Debit Card
2025-01-12,Subscription,Spotify Premium,10.99,Credit Card
2025-01-13,Dining,Chipotle lunch,14.25,Debit Card
2025-01-15,Utilities,Electric bill,142.30,Bank Transfer
2025-01-15,Utilities,Internet - Comcast,79.99,Bank Transfer
2025-01-17,Groceries,Costco bulk run,213.67,Credit Card
2025-01-18,Shopping,Amazon - keyboard,149.99,Credit Card
2025-01-20,Dining,Thai Palace takeout,38.90,Credit Card
2025-01-22,Groceries,Whole Foods Market,72.18,Credit Card
2025-01-23,Health,Gym membership - January,49.99,Credit Card
2025-01-25,Subscription,iCloud Storage,2.99,Credit Card
2025-01-26,Dining,Pizza Hut delivery,27.45,Debit Card
2025-01-28,Transport,Lyft to downtown,18.50,Credit Card
2025-01-30,Groceries,Safeway,43.88,Debit Card
2025-01-31,Subscription,ChatGPT Plus,20.00,Credit Card
2025-02-01,Groceries,Whole Foods Market,91.23,Credit Card
2025-02-02,Dining,Olive Garden,55.80,Credit Card
2025-02-03,Subscription,YouTube Premium,13.99,Credit Card
2025-02-05,Shopping,Target - home supplies,67.43,Debit Card
2025-02-06,Groceries,Trader Joe's,48.77,Debit Card
2025-02-08,Dining,Starbucks x4 this week,28.60,Credit Card
2025-02-09,Travel,Airbnb weekend getaway,312.00,Credit Card
2025-02-10,Travel,Gas - road trip,58.40,Debit Card
2025-02-12,Utilities,Water bill,45.20,Bank Transfer
2025-02-13,Groceries,Costco,187.34,Credit Card
2025-02-14,Dining,Valentine's dinner - Nobu,218.50,Credit Card
2025-02-15,Shopping,Flowers for Valentine's,65.00,Credit Card
2025-02-16,Health,Gym membership - February,49.99,Credit Card
2025-02-18,Groceries,Whole Foods Market,63.45,Credit Card
2025-02-19,Subscription,Anthropic Claude Pro,20.00,Credit Card
2025-02-20,Dining,Pho King Good lunch,16.75,Debit Card
2025-02-21,Transport,Uber rides x3,47.80,Credit Card
2025-02-23,Groceries,Safeway,51.20,Debit Card
2025-02-24,Shopping,Amazon - USB hub + cables,43.98,Credit Card
2025-02-25,Utilities,Electric bill,138.60,Bank Transfer
2025-02-26,Dining,McDonald's late night,12.49,Debit Card
2025-02-27,Groceries,Trader Joe's,39.88,Debit Card
2025-02-28,Subscription,Hulu + Live TV,75.99,Credit Card
2025-03-01,Groceries,Whole Foods Market,78.56,Credit Card
2025-03-02,Dining,Brunch at First Watch,42.30,Credit Card
2025-03-03,Transport,Uber to dentist,15.60,Credit Card
2025-03-04,Health,Dentist copay,35.00,Debit Card
